demo,demo1,demo2,demo3,demo4,demo5,demo6,demo7,demo8,demo9,dv0,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,reg_target
0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,-92.51893139
0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,-213.4715925
0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,78.64443689
1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,42.84939849
1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,132.2970346
1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,-66.18567453
1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,-9.403938975
0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,93.22604423
0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,72.96310077
1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,162.2024075
1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,-0.6987734170000001
0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,-103.116585
0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,-100.6304364
1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,-18.55997219
1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,57.13559218
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,-61.24465285
1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,234.730648
0,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,79.09827979
1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,-364.891745
1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,-208.9260858
1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,11.12256861
0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,135.5683096
0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,29.27296948
1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,47.46566017
1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,-15.51754876
0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,-90.62688994
1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,-56.24598341
1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,-435.3359841
1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,-111.3532663
0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,-46.62522589
1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,-146.57555449999995
1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,-46.83025815
1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,81.58006871
0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,141.2011741
0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,-119.2315411
0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,-100.59095
1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,-159.0883151
0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,-121.2243955
1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,75.01702043
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,21.47454239
1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-143.9103367
0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,-97.19533321
1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,24.70616398
0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,-99.27701957
0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,16.52899116
0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,-22.29641284
0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,-12.33049989
0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,-1.92814973
0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,-52.30660129
0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,-152.2644323
1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,112.9045523
1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,157.77653569999995
1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,55.04821163
0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,8.208858225
1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,7.804027474
1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,-201.8519298
1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,85.5780483
0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,39.37283189
1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,124.3792747
1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,-154.80252990000002
0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,-23.236183800000006
0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,3.913293047
0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,1,169.1119059
1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,-405.3293649
1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,-175.75070319999998
1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,-93.85860941
0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,124.1848376
0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,221.3878352
0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,-30.25876763
1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,-72.76111687
1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,-59.45502595
0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,127.1792056
0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,12.41323357
0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,-38.82890083
0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,131.2915752
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,98.56605064
1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,39.04626561
0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,42.00173235
0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,87.29424566
0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,-139.3862388
1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,2.561143352
1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,23.27650895
1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,42.85697443
0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,-107.6647258
0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,83.7814976
0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,-249.2614722
0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,70.12382241
0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,50.35049853
1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,-130.8798318
1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,36.48684649
1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,31.45341963
0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,-82.71676732
0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,-66.04672529
1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,-88.56158969
1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,-60.85253738
1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,-155.8478109
0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,67.16131655
0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,-131.78876440000002
1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,81.03242963
0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,-36.69576454
0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,-139.2836046
0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,-10.94580197
0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,202.3687354
0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,-26.29905447
0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,-33.6239535
1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,80.7320435
0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,-59.55432194
1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,27.62668109
0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,148.96791430000005
1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,-128.7320324
1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,18.07722145
1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,147.54949319999997
0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,129.332144
1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,-120.6898455
0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,-43.90167944
1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,-54.71892782
1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-42.91022059
1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,137.62044
1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,-87.84933385
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,-113.427002
1,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,-91.16939347
1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,112.6460926
1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,71.38060138
0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,-178.0563114
1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,-133.3673588
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,-187.2171444
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,-297.355129
0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,68.37866234
0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,-29.53778745
1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,84.17727369
0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,58.95605135
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,-37.82876866
0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,349.18085519999994
1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,-139.5110549
1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,112.6272412
0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,136.803799
1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-94.61186453
1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,-88.81590767
1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,-96.99739879
0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,-0.127996245
0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,32.21664051
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-252.5918434
0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,-6.256876648
0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,129.1934422
1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1,-5.8118507610000005
0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,-2.76010721
1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,75.631171
1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,100.2859898
1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,-8.915083399
1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,-319.8082022
0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,54.49995644
0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,-93.21718481
1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,112.1379519
1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,-240.1034791
0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,158.0886965
0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,-90.38933665
1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,-10.0943056
0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,73.14960557
1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,-10.53952555
1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,91.93751562
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,-26.83057136
0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,1,-145.7736543
1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-424.8001015
1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,110.7473016
0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,-30.75959321
0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,97.41244511
0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,85.89095916
1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,-44.7573658
1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0.763994792
0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,-94.61866762
1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,-90.41262377
0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,-352.7140879
0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,-118.1454939
0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,32.4728851
0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,255.0405448
1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,62.46888151
1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,-160.9066684
1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,0,36.44962854
0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,-174.2135146
0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,37.43539582
1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,161.0305725
0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,120.3305159
1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,3.933862165
0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,-9.512761752000001
1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,97.62537814
1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,57.42843119
1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,-162.81651340000005
1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,20.73290501
1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,-254.074224
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.604323776
0,1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,257.6647407
1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,-35.16656918
0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,-95.421581
0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,-269.6811405
0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,-66.36967767
0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,130.6370398
0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,-64.60692733
1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,19.27931654
0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,138.8149871
0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,-289.74656160000006
1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,135.4114743
1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0.930775849
1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,50.10506865
0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,132.5509562
0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,127.47311840000002
1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,109.8348773
0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,-142.3112516
0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,-116.3119679
1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,25.42070983
0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,40.71180921
1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,-5.226639982
1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,175.0442465
1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,-172.29717649999995
0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,299.8335372
0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,48.24079102
0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,-64.04694533
1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,45.1061644
1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,-30.83850007
0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,-160.1749977
1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,-20.07008836
0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,-85.49655229999998
0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,-1.52769581
0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,-68.49358597
1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,-54.95525086
1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,127.6823712
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,10.6572631
1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,19.28862519
1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,114.5988011
1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,-81.25921542
0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,84.53246651
0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,-53.73395058
0,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,47.84057506
1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,33.96085224
1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,123.0006842
1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,-78.69824955
1,1,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,-7.1339597989999985
1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,165.00557080000004
0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0,-50.36525126
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,39.65021268
0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,-108.0022421
0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,-237.00271580000003
1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,-75.23197098
